Item ID;Part Number;NSN;Nama Barang;PN Lama;Nama Lama;Gudang;Rak;Jumlah;Satuan;Harga Satuan;Komoditi;Komponen;Transaksi Terakhir;Lanud/Depo;Status;Keterangan
IT-100099220;MS3100R14S2S;5935-00-814-6723;CONNECTOR,RECEPTACLE,ELECTRICAL;;;TB SATHAR 15;;0;EA;;;N;;DEPO 10;ACTIVE;
IT-100104064;601000-4-0140;4720-00-202-6806;HOSE ASSEMBLY,NONMETALLIC;601000-4-0140;HOSE ASSY;GPD 10 GD 01;01A004D01;0;EA;;C 130;N;;DEPO 10;ACTIVE;
IT-100104064;601000-4-0140;4720-00-202-6806;HOSE ASSEMBLY,NONMETALLIC;;;TB SATHAR 15;;0;EA;;;N;;DEPO 10;ACTIVE;
IT-100104098;9531109-1;1630-AU-PAE-9551;DISC BRAKE;;;TB SATHAR 15;;0;EA;;;N;;DEPO 10;ACTIVE;
IT-100104098;9531109-1;1630-AU-PAE-9551;DISC BRAKE;;;GPD 10;;0;EA;;;N;;DEPO 10;ACTIVE;
IT-100104102;9EL403848-00;6220-66-131-7469;LENS,LIGHT;;;TB SATHAR 11;;0;EA;;KT-1B;N;;DEPO 10;ACTIVE;
IT-100104107;627458;5365-AU-PAJ-4285;SPRING OIL PRESS RELIEF VALVE;627458;SPRING OIL PRESS RELIEF VALVE;GPD 10 GD 01;01A004C03;2;EA;;CESSNA;N;;DEPO 10;ACTIVE;
IT-100104107;627458;5365-AU-PAJ-4285;SPRING OIL PRESS RELIEF VALVE;;;TB SATHAR 11;01A004C03;0;EA;;T-41D;N;;DEPO 10;ACTIVE;
IT-100104109;61829;1660-AU-PAC-7162;SLEEVE, CLAMPING;;;TB SATHAR 11;TRANSIT;0;EA;;KT-1B;N;;DEPO 10;ACTIVE;
IT-100104110;9914A;2640-00-890-7965;VALVE CORE;;;TB SATHAR 11;TRANSIT;0;EA;;KT-1B;N;;DEPO 10;ACTIVE;
IT-100104112;FHS1828-19;5325-AU-PAJ-4216;RING BACKING;;;TB SATHAR 11;01A004C01;0;EA;;KT-1B;N;;DEPO 10;ACTIVE;
IT-100104112;FHS1828-19;5325-AU-PAJ-4216;RING BACKING;FHS1828-19;RING BACKING;GPD 10 GD 01;01A004C01;4;EA;;KT 1B;N;;DEPO 10;ACTIVE;
IT-100107069;LS5758;9540-01-370-4508;CHANNEL,STRUCTURAL;;;TB SATHAR 15;;0;;;;N;;DEPO 10;ACTIVE;
IT-100107075;ARDROX 2871;8010-14-584-0984;REMOVER,PAINT;;;GPD 10;;0;DRUM;110350000;;N;11/08/2024 11.23;DEPO 10;ACTIVE;
IT-100107239;342129-6;8340-AU-PAF-2293;HINGE PIN;;;TB SATHAR 15;;0;;;;N;;DEPO 10;ACTIVE;
IT-100107240;342129-7;5315-01-412-4995;PIN,STRAIGHT,HEADED;;;TB SATHAR 15;;0;;;;N;;DEPO 10;ACTIVE;
IT-100107241;D6300-4571;6220-00-717-5099;FLOODLIGHT,ELECTRIC;;;TB SATHAR 15;;0;;;;N;;DEPO 10;ACTIVE;
IT-100145061;MS3100R18-11S;5935-00-686-9541;CONNECTOR,RECEPTACLE,ELECTRICAL;;;TB SATHAR 15;;0;;;;N;;DEPO 10;ACTIVE;
IT-100145072;8030-P/MIL-C-81706;5977-AU-PAC-1079;ALODINE;;;TB SATHAR 15;;0;;;;N;;DEPO 10;ACTIVE;
IT-100145072;8030-P/MIL-C-81706;5977-AU-PAC-1079;ALODINE;;;TB SATHAR 12;;0;;;;N;;DEPO 10;ACTIVE;
IT-100145079;3612125-1;5330-01-307-1418;GASKET;;;TB SATHAR 13;;0;EA;232000;;N;;DEPO 10;ACTIVE;
IT-100145079;3612125-1;5330-01-307-1418;GASKET;;;TB SATHAR 14;;0;EA;232000;;N;;DEPO 10;ACTIVE;
IT-100145082;16006-009;5330-01-400-3730;GASKET;;;GPD 10;;0;EA;;;Y;;DEPO 10;ACTIVE;
IT-100145082;16006-009;5330-01-400-3730;GASKET;;;GPD 10 GD 01;;0;EA;;;Y;;DEPO 10;ACTIVE;
IT-100145082;16006-009;5330-01-400-3730;GASKET;;;TB SATHAR 13;;0;EA;;;Y;;DEPO 10;ACTIVE;
IT-100145082;16006-009;5330-01-400-3730;GASKET;;;TB SATHAR 14;;0;EA;;;Y;;DEPO 10;ACTIVE;
IT-100145083;2-022;5310-00-291-3016;WASHER,FLAT;;;TB SATHAR 13;;0;EA;;;Y;;DEPO 10;ACTIVE;
IT-100145083;2-022;5310-00-291-3016;WASHER,FLAT;;;TB SATHAR 14;;0;EA;;;Y;;DEPO 10;ACTIVE;
IT-100145084;21A00355-1;5820-AU-PAC-1089;INSTALLATION ADAPTER FOR LINER ESSY;;;TB SATHAR 13;;0;EA;;;Y;;DEPO 10;ACTIVE;
IT-100145084;21A00355-1;5820-AU-PAC-1089;INSTALLATION ADAPTER FOR LINER ESSY;;;TB SATHAR 14;;0;EA;;;Y;;DEPO 10;ACTIVE;
